서울특별시 중구 광희동(1114059000),5353,5353,132,196,1000,863,634,853,860,542,215,43,15,2738,2738,69,93,423,478,344,480,465,278,84,18,6,2615,2615,63,103,577,385,290,373,395,264,131,25,9
서울특별시 중구 을지로동(1114060500),1778,1778,43,35,196,305,197,304,395,202,71,22,8,1070,1070,19,15,86,172,125,222,269,114,35,9,4,708,708,24,20,110,133,72,82,126,88,36,13,4
서울특별시 중구 신당동(1114061500),7670,7670,251,288,1357,1296,1049,1370,1072,658,262,59,8,3813,3813,103,139,620,665,573,733,546,311,107,12,4,3857,3857,148,149,737,631,476,637,526,347,155,47,4
서울특별시 중구 다산동(1114062500),14101,14101,542,793,2366,2208,2030,2297,2008,1221,540,82,14,6839,6839,288,424,1134,1157,1039,1087,933,552,202,20,3,7262,7262,254,369,1232,1051,991,1210,1075,669,338,62,11
서울특별시 중구 약수동(1114063500),16914,16914,1055,948,1972,2367,2409,2816,2738,1624,822,154,9,7978,7978,523,479,969,1142,1188,1336,1276,716,298,47,4,8936,8936,532,469,1003,1225,1221,1480,1462,908,524,107,5
서울특별시 중구 청구동(1114064500),13893,13893,750,865,1952,2152,1915,2355,1993,1197,620,85,9,6573,6573,379,429,949,1067,937,1134,956,464,232,23,3,7320,7320,371,436,1003,1085,978,1221,1037,733,388,62,6
서울특별시 중구 신당제5동(1114065000),10472,10472,564,536,1658,1701,1543,1867,1353,840,357,47,6,5087,5087,281,269,760,845,795,973,660,362,128,14,0,5385,5385,283,267,898,856,748,894,693,478,229,33,6
서울특별시 중구 동화동(1114066500),10558,10558,708,853,1393,1340,1563,1955,1459,772,430,72,13,5115,5115,399,424,697,630,766,945,738,341,148,23,4,5443,5443,309,429,696,710,797,1010,721,431,282,49,9
서울특별시 중구 황학동(1114067000),12613,12613,729,518,2091,2781,1842,1763,1577,910,338,60,4,6033,6033,379,258,874,1372,916,902,764,430,123,15,0,6580,6580,350,260,1217,1409,926,861,813,480,215,45,4
서울특별시 중구 중림동(1114068000),12305,12305,1010,757,1380,2217,2025,1945,1494,937,430,77,33,6131,6131,521,393,677,1060,1068,1002,783,425,165,25,12,6174,6174,489,364,703,1157,957,943,711,512,265,52,21
서울특별시 용산구 (1117000000),228755,228755,13270,15290,33752,38345,35259,36771,29073,16811,8630,1440,114,110038,110038,6803,7754,15966,19109,17337,18151,13918,7303,3231,431,35,118717,118717,6467,7536,17786,19236,17922,18620,15155,9508,5399,1009,79
서울특별시 용산구 후암동(1117051000),17332,17332,939,1237,2569,2787,2729,2799,2244,1307,594,109,18,8409,8409,485,673,1290,1430,1317,1375,1050,563,196,27,3,8923,8923,454,564,1279,1357,1412,1424,1194,744,398,82,15
서울특별시 용산구 용산2가동(1117052000),9833,9833,340,511,1548,1717,1364,1445,1456,932,441,77,2,4746,4746,176,261,818,883,704,675,655,412,144,16,2,5087,5087,164,250,730,834,660,770,801,520,297,61,0
서울특별시 용산구 남영동(1117053000),7549,7549,175,256,955,1058,1072,1620,1373,670,295,56,19,4603,4603,86,150,441,580,679,1130,968,388,152,20,9,2946,2946,89,106,514,478,393,490,405,282,143,36,10
서울특별시 용산구 청파동(1117055500),19676,19676,664,1137,4239,3146,2689,3091,2402,1505,703,97,3,9219,9219,332,605,1670,1698,1350,1530,1118,613,279,23,1,10457,10457,332,532,2569,1448,1339,1561,1284,892,424,74,2
서울특별시 용산구 원효로제1동(1117056000),16042,16042,1296,867,2476,3665,2626,2213,1648,820,358,63,10,7687,7687,642,459,1046,1761,1343,1095,798,371,150,19,3,8355,8355,654,408,1430,1904,1283,1118,850,449,208,44,7
서울특별시 용산구 원효로제2동(1117057000),14100,14100,906,1222,1897,2106,2267,2317,1748,1020,549,64,4,6633,6633,445,496,884,1062,1115,1138,834,457,183,18,1,7467,7467,461,726,1013,1044,1152,1179,914,563,366,46,3
서울특별시 용산구 효창동(1117058000),10258,10258,768,740,1593,1873,1562,1604,1074,651,336,54,3,4841,4841,391,387,739,906,739,769,491,274,124,20,1,5417,5417,377,353,854,967,823,835,583,377,212,34,2
서울특별시 용산구 용문동(1117059000),12187,12187,735,794,1844,2003,1812,1972,1557,984,410,68,8,5813,5813,370,409,888,982,896,971,704,416,161,14,2,6374,6374,365,385,956,1021,916,1001,853,568,249,54,6
서울특별시 용산구 한강로동(1117062500),21705,21705,1186,1006,3628,4649,2915,3497,2611,1401,694,112,6,10383,10383,617,535,1551,2220,1433,1720,1321,652,294,38,2,11322,11322,569,471,2077,2429,1482,1777,1290,749,400,74,4
서울특별시 용산구 이촌제1동(1117063000),27705,27705,2707,2866,2918,3568,4866,4559,3032,1764,1202,217,6,12992,12992,1416,1436,1433,1583,2195,2190,1463,738,455,81,2,14713,14713,1291,1430,1485,1985,2671,2369,1569,1026,747,136,4
